V1,V8,V9,V10,Enter Embedded Data Field Name Here...,uid,Q1,Q2_1,Q3_1,Q4_1,Q5,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1
ResponseID,StartDate,EndDate,Finished,Enter Embedded Data Field Name Here...,uid,Please indicate the extent to which you plan to take the following actions in the following week. ,How often will you snack in the following week?-Frequency,How often will you check the per-serving calories in the nutrition label when you go food shoppin...-Frequecy,"How often will per-serving calories matter more than flavor/taste, portion, price, etc. when choo...-Frequecy",Please indicate how much you agree or disagree with the following statements. ,It is likely that my usual shopping list of (food) items will change to include healthier items i...-Degree,It is likely that I would think twice about what I purchase and consume at work (school etc.) for...-Degree,Snack foods are generally less healthy foods. -Degree,Increased snacking by the population in general is a major contributor to the current increase in...-Degree,I avoid eating snack foods because I think they are unhealthy.-Degree,I depend a lot on snack foods because I have a busy lifestyle and don't have time to prepare meals. -Degree,Some snack foods are healthy but these are not tasty.-Degree,"Given my current snacking habit, my risk for developing type 2 diabetes is relatively low. -Degree"
R_3CQwzuWR9jBjoms,2016-02-16 16:47,2016-02-16 16:48,1,hFMehFgYKLkcpyuQ9,hFMehFgYKLkcpyuQ9,1,4,3,3,1,2,2,3,3,4,3,2,4
R_ux1zZWvogb6IlGN,2016-02-16 23:43,2016-02-16 23:44,1,bvQKD5bRjLyvwCpPy,bvQKD5bRjLyvwCpPy,1,4,5,3,1,3,3,2,2,3,5,2,3
R_31affGxObEhtflG,2016-02-17 11:10,2016-02-17 11:11,1,nTjB9cbr4ip2uXa8g,nTjB9cbr4ip2uXa8g,1,4,3,2,1,4,3,4,3,4,2,4,2
R_1gCoIR2yNddxZEL,2016-02-17 16:43,2016-02-17 16:45,1,nXMXFzpgTi4qgwWK6,nXMXFzpgTi4qgwWK6,1,3,3,3,1,3,2,1,1,2,2,2,2
R_paVsHssJBpotDTH,2016-02-17 19:28,2016-02-17 19:39,1,8rkTWSowd8QnKYkrE,8rkTWSowd8QnKYkrE,1,5,2,2,1,2,2,1,1,4,4,2,4
R_1pxqUjyzsFKTbeH,2016-02-18 0:14,2016-02-18 0:15,1,iw4jvD5va5fnWukXC,iw4jvD5va5fnWukXC,1,3,2,2,1,3,3,2,2,2,4,2,3
R_38F8WHjCpC6iwHH,2016-02-19 14:01,2016-02-19 14:02,1,peZip3nZ25pQ4ism4,peZip3nZ25pQ4ism4,1,2,5,5,1,2,2,2,1,4,4,4,2
R_1KqlLoxL4FPfOw6,2016-02-19 15:05,2016-02-19 15:06,1,Yq2tfTdFxrtJJrtiK,Yq2tfTdFxrtJJrtiK,1,1,5,5,1,1,1,1,1,3,5,3,5
R_4MAMPOYKH4iICQx,2016-02-20 10:02,2016-02-20 10:04,1,2EaSSMTDRTavgzxWY,2EaSSMTDRTavgzxWY,1,3,3,3,1,3,2,3,2,2,4,2,2
R_1ffjhN3qioE3RLg,2016-02-21 10:25,2016-02-21 10:25,1,A8Cj2fKdNtZJqYLwh,A8Cj2fKdNtZJqYLwh,1,2,3,3,1,2,2,1,1,1,5,3,1
R_3NydYN7j1Ol8vuV,2016-02-21 11:27,2016-02-21 11:28,1,Go273GW8uicZrCdSD,Go273GW8uicZrCdSD,1,5,5,4,1,3,2,2,1,3,2,3,2
R_2cklStmeLy5kUpF,2016-02-21 12:17,2016-02-21 12:18,1,i8NjyEXvuMDxg5nGL,i8NjyEXvuMDxg5nGL,1,4,5,4,1,4,2,3,3,3,3,3,2
R_1LZQEAaGQbNV1G6,2016-02-21 17:05,2016-02-21 17:06,1,DW37WiLZena9WDYfN,DW37WiLZena9WDYfN,1,4,1,2,1,4,4,5,4,4,4,5,2
R_2cu25E5sbS6kC1B,2016-02-21 17:45,2016-02-21 17:45,1,c7KXKPxqoFftvbiRo,c7KXKPxqoFftvbiRo,1,2,1,1,1,4,4,4,4,3,4,2,2
R_1HcUvx14zgHn8Gh,2016-02-21 18:54,2016-02-21 18:55,1,F3ZWcZX7ARkhPJmRW,F3ZWcZX7ARkhPJmRW,1,3,5,5,1,1,1,2,1,2,4,4,2
R_2QW1QRN4pBLE8aF,2016-02-21 23:36,2016-02-21 23:37,1,79cjqjh3rhGT85Z35,79cjqjh3rhGT85Z35,1,3,4,5,1,2,2,2,1,1,4,4,1
R_3Hvqlz8BDEfO1CB,2016-02-22 10:36,2016-02-22 10:37,1,iNRN7ctrXkwmZQSxt,iNRN7ctrXkwmZQSxt,1,3,4,3,1,2,2,2,2,2,4,4,2
R_27WK16eC6y8P82f,2016-02-22 14:17,2016-02-22 14:17,1,ufYSbrs2puEYHomhr,ufYSbrs2puEYHomhr,1,5,3,2,1,4,4,4,3,5,1,3,3
R_3DkfiaXWLPWvc9Q,2016-02-22 20:57,2016-02-22 20:58,1,Wxu8k7df9yj4j6573,Wxu8k7df9yj4j6573,1,3,4,4,1,2,1,1,1,1,5,3,2
R_T5TsP6VKw52kcpP,2016-02-22 23:50,2016-02-22 23:51,1,EsvySo9AtybDSYAs8,EsvySo9AtybDSYAs8,1,3,5,3,1,3,2,3,2,2,2,3,2
R_1IZrbpG1dXpExNR,2016-02-24 4:55,2016-02-24 4:56,1,nyhJYddWvp3BB3QQw,nyhJYddWvp3BB3QQw,1,2,4,5,1,4,2,2,2,2,3,3,1
R_3EoHAN8IjUhx5mE,2016-02-24 18:30,2016-02-24 18:32,1,qBC3M3KQn9vNCcPqE,qBC3M3KQn9vNCcPqE,1,5,5,5,1,1,1,2,2,4,2,4,5
R_uqWvFcsIU7li05X,2016-02-29 8:55,2016-02-29 8:56,1,no24mX6RndnhrbK2G,no24mX6RndnhrbK2G,1,3,4,4,1,3,4,2,2,3,2,2,2
R_10PDNboATNVu89R,2016-02-29 10:10,2016-02-29 10:11,1,MrGZ6mh63fudmqYDf,MrGZ6mh63fudmqYDf,1,5,3,3,1,2,2,1,1,3,2,2,1
R_2Bt9q6GexviyIXD,2016-02-29 10:43,2016-02-29 10:44,1,CLtNCJghz2jZqxeK9,CLtNCJghz2jZqxeK9,1,3,2,2,1,3,4,2,2,4,2,2,2
R_2s5AhsTSnvS0Xiy,2016-02-29 10:50,2016-02-29 10:52,1,YiHmJ4qLbxiwyjMFd,YiHmJ4qLbxiwyjMFd,1,2,5,5,1,2,2,2,2,2,2,4,4
R_pATRbj1PihJnNzr,2016-02-29 11:31,2016-02-29 11:32,1,B2ZCZF78M52DaYdRe,B2ZCZF78M52DaYdRe,1,2,5,5,1,2,1,1,1,1,1,3,3
R_3dY7RKsFkrGrGR2,2016-02-29 15:16,2016-02-29 15:19,1,yZoeMgzGtaMeqaFnP,yZoeMgzGtaMeqaFnP,1,3,5,4,1,3,2,3,2,3,4,4,2
R_A7r0YnaxKMnVlhT,2016-02-29 22:14,2016-02-29 22:15,1,YGJd65DmqYzQazNgB,YGJd65DmqYzQazNgB,1,4,3,3,1,2,2,1,2,5,3,1,4
R_1FeTwJ4t111QpE2,2016-02-29 23:00,2016-02-29 23:01,1,AwhQeCLDxEyvjTy3X,AwhQeCLDxEyvjTy3X,1,3,2,3,1,2,2,4,2,4,4,4,2
R_ZskbLAjTL2wbJoB,2016-03-01 13:38,2016-03-01 13:39,1,Lcmknpky6pFHN3tQu,Lcmknpky6pFHN3tQu,1,3,2,3,1,2,2,2,2,2,3,2,2
R_1Qoq2l9KBFUlCZi,2016-03-01 21:30,2016-03-01 21:31,1,Bpj4sGSnkFdkCCxNf,Bpj4sGSnkFdkCCxNf,1,3,4,3,1,2,2,2,3,3,3,2,4
R_Ubb7S3bjEtkcW6R,2016-03-01 23:05,2016-03-01 23:06,1,YM8venxunpNq9B2xq,YM8venxunpNq9B2xq,1,5,1,1,1,4,4,3,2,4,3,3,3
