V1,uid,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
ResponseID,uid,The following survey will take around 8-10 minutes. Please answer all questions as honestly as po...,What is your age range?,What is your gender?,What is your yearly income in U.S. dollars ($)?,"Is your job related to the nutrition, dietetics, and/or medical field?",Do you currently reside in the U.S.A.?,What is your highest education level?,Please select what best describes you.
R_1psV4yUSuka3DHo,i7HMczRwQwWbacY4R,1,2,2,3,2,4,5,5
R_33dlS1W5Ajqe3fI,nHiQccgWtzwKfwxsm,1,6,1,5,2,1,4,2
R_1poOmLxcaAF1Lt9,PxZYxaGdJhcnoWWsT,1,4,1,4,2,1,4,3
R_1hy7rr332eCKy3r,DW37WiLZena9WDYfN,1,1,2,5,2,4,3,5
R_2bWwXDWA0gnz8Ab,A8Cj2fKdNtZJqYLwh,1,1,1,1,2,3,5,3
R_1r2JbfHDoyEJSNJ,F3ZWcZX7ARkhPJmRW,1,2,1,1,2,1,5,3
R_2SH8ZEauHbUApk5,9bSZGxpzwYt8Zz8Kx,1,2,1,4,1,1,5,3
R_2fdq8cY0coFAdHR,peZip3nZ25pQ4ism4,1,2,1,2,2,1,5,4
R_28AjmxGOoSJAAUH,hFMehFgYKLkcpyuQ9,1,2,2,3,2,1,5,4
R_TwtRlKJZKUpoxZT,GL2hudNdtRviGrbv6,1,3,2,4,2,1,5,3
R_3pt1YqK7txeM5tF,YiHmJ4qLbxiwyjMFd,1,2,1,2,2,1,5,3
R_2Et7aqbfxGOeUIE,Xyy2u4fX5w8ZXBK3y,1,2,1,4,2,1,4,4
R_3lDqplMEjcY0XLL,qHfPbdZH5ooEhRGj5,1,1,1,5,2,1,4,5
R_d5QRzEEDxhrCTKN,idBwv2cHpmaynrZhD,1,4,1,3,2,1,5,1
R_31NUSiM979xWXLW,nXMXFzpgTi4qgwWK6,1,3,1,2,1,1,4,3
R_BRHtpBOTt6S56ZX,iw4jvD5va5fnWukXC,1,3,1,5,2,1,5,1
R_41QBTB0lEIhVKCt,bvQKD5bRjLyvwCpPy,1,2,1,5,2,1,5,3
R_2cqQeJE1TYscLoz,nTjB9cbr4ip2uXa8g,1,2,2,2,2,4,4,5
R_3qfisF5cckkZBET,ufYSbrs2puEYHomhr,1,2,1,3,1,1,5,4
R_2BlYpBSKJiWjHFk,iNRN7ctrXkwmZQSxt,1,3,1,3,2,1,5,4
R_TttYHtrYXjwEOe5,i8NjyEXvuMDxg5nGL,1,1,1,2,2,1,5,4
