V1,uid,Q9_1,Q9_2,Q10_1,Q11,Q11_TEXT,Q12,Q12_TEXT,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11
ResponseID,uid,Tick the circle that applies to the statement on the left. Please tick ONE circle per statement.-How often do you have a snack or something to eat between meals?,Tick the circle that applies to the statement on the left. Please tick ONE circle per statement.-How often do you have a snack or something to eat before going to bed?,Tick the circle that applies to the statement on the left. Please tick ONE circle per statement. -How many times did you have a snack yesterday?,"If you could change your behavior, what would an ideal day with or without snacks look like to you?","If you could change your behavior, what would an ideal day with or without snacks look like to you?-TEXT",What is the main reason you snack on a regular basis?,What is the main reason you snack on a regular basis?-TEXT,"Please select ""chocolate"" among the following answers. ","How often have you eaten the following foods in the last week? Drag the gray boxes on the left in...-Nutritious Beverages (smoothie, protein shake)","How often have you eaten the following foods in the last week? Drag the gray boxes on the left in...-Chips & Salty Snacks (tortilla chips, pretzels, crisps)","How often have you eaten the following foods in the last week? Drag the gray boxes on the left in...-Pastries (brownies, cake, muffins, cookies)","How often have you eaten the following foods in the last week? Drag the gray boxes on the left in...-Ice Cream (milkshakes, ice cream cakes)","How often have you eaten the following foods in the last week? Drag the gray boxes on the left in...-Candy (chocolate, suckers, gum, jelly)",How often have you eaten the following foods in the last week? Drag the gray boxes on the left in...-Fruit and Veggies,"How often have you eaten the following foods in the last week? Drag the gray boxes on the left in...-Nuts, Seeds, Legumes, and Grains","How often have you eaten the following foods in the last week? Drag the gray boxes on the left in...-Savory (beef jerky, fries, tapas)","How often have you eaten the following foods in the last week? Drag the gray boxes on the left in...-Bars, Crackers, and Biscuits","How often have you eaten the following foods in the last week? Drag the gray boxes on the left in...-Dairy (yogurt, cheese, milk)","How often have you eaten the following foods in the last week? Drag the gray boxes on the left in...-Non-alcoholic Drinks (carbonated drinks like coke, juice)"
R_1psV4yUSuka3DHo,i7HMczRwQwWbacY4R,2,2,3,2,,8,,4,7,4,4,6,3,1,1,2,4,1,1
R_33dlS1W5Ajqe3fI,nHiQccgWtzwKfwxsm,3,5,1,1,,1,,4,7,7,7,7,4,2,3,7,7,2,7
R_1poOmLxcaAF1Lt9,PxZYxaGdJhcnoWWsT,1,2,1,1,,9,I skip meals,4,2,6,6,7,4,1,2,7,7,2,7
R_1hy7rr332eCKy3r,DW37WiLZena9WDYfN,3,2,3,3,,3,,4,7,4,7,6,5,5,4,6,7,7,6
R_2bWwXDWA0gnz8Ab,A8Cj2fKdNtZJqYLwh,4,5,1,1,,1,,4,7,6,6,6,6,1,5,6,5,4,6
R_1r2JbfHDoyEJSNJ,F3ZWcZX7ARkhPJmRW,2,2,3,2,,6,,4,7,6,4,7,7,2,3,5,4,5,7
R_2SH8ZEauHbUApk5,9bSZGxpzwYt8Zz8Kx,2,2,2,2,,4,,4,6,5,7,7,3,1,2,7,3,4,5
R_2fdq8cY0coFAdHR,peZip3nZ25pQ4ism4,3,2,1,2,,2,,4,7,5,5,7,6,2,5,3,3,2,4
R_28AjmxGOoSJAAUH,hFMehFgYKLkcpyuQ9,2,3,3,2,,6,,4,7,4,6,5,6,1,2,7,6,2,7
R_TwtRlKJZKUpoxZT,GL2hudNdtRviGrbv6,2,3,3,2,,6,,4,7,7,4,4,4,4,4,6,7,2,2
R_3pt1YqK7txeM5tF,YiHmJ4qLbxiwyjMFd,1,2,4,1,,8,,4,7,6,5,6,4,1,2,4,5,7,7
R_2Et7aqbfxGOeUIE,Xyy2u4fX5w8ZXBK3y,1,2,3,3,,5,,4,2,5,6,5,4,1,2,6,6,3,7
R_3lDqplMEjcY0XLL,qHfPbdZH5ooEhRGj5,2,2,3,5,,4,,4,6,5,4,6,3,1,2,2,2,4,2
R_d5QRzEEDxhrCTKN,idBwv2cHpmaynrZhD,2,4,1,1,,7,,5,7,5,3,6,7,2,2,7,7,3,4
R_31NUSiM979xWXLW,nXMXFzpgTi4qgwWK6,2,4,1,6,work out,1,,4,7,6,1,6,5,4,3,4,5,2,4
R_BRHtpBOTt6S56ZX,iw4jvD5va5fnWukXC,2,3,2,1,,6,,4,3,6,4,7,6,2,5,7,7,2,3
R_41QBTB0lEIhVKCt,bvQKD5bRjLyvwCpPy,2,2,3,1,,1,,4,6,6,5,4,3,4,7,6,6,5,7
R_2cqQeJE1TYscLoz,nTjB9cbr4ip2uXa8g,2,2,3,3,,5,,4,7,4,5,4,5,1,1,6,3,1,7
R_3qfisF5cckkZBET,ufYSbrs2puEYHomhr,2,2,3,5,,5,,4,7,1,2,4,3,6,1,7,4,1,1
R_2BlYpBSKJiWjHFk,iNRN7ctrXkwmZQSxt,4,3,3,1,,6,,4,2,6,5,7,6,4,5,6,5,2,2
R_TttYHtrYXjwEOe5,i8NjyEXvuMDxg5nGL,2,3,2,2,,3,,4,6,6,6,6,5,1,1,5,6,2,6
R_qUVXeLtqgpHPyIF,Wxu8k7df9yj4j6573,4,5,2,1,,1,,4,7,7,4,7,7,4,7,7,6,6,5
R_3nAG56Ub7Iaa2nB,8rkTWSowd8QnKYkrE,1,1,3,2,,3,,4,7,2,4,5,4,3,7,7,7,1,6
R_73wr0yXdua24YHT,m3PpL6WcoykRyE6pm,2,2,4,2,,3,,4,7,5,6,3,6,4,4,7,7,6,7
R_6h5XHZrimIhuIDz,c7KXKPxqoFftvbiRo,4,5,1,1,,1,,4,7,7,6,6,6,5,7,5,7,3,7
R_vMuaOQwIj5gmryV,nyhJYddWvp3BB3QQw,3,4,2,1,,1,,4,2,7,5,7,7,2,4,7,7,1,7
R_DHHHXqUAhwFvedr,Go273GW8uicZrCdSD,1,2,3,2,,5,,4,7,7,7,7,7,1,2,7,3,1,7
R_2Y9CXRqRAQiH7SG,qNdyGMJ35buHGrH8S,2,4,2,3,,5,,4,7,7,5,7,7,1,1,7,2,1,5
R_2rj58pPaUu9va5C,Yq2tfTdFxrtJJrtiK,2,3,2,1,,7,,4,7,6,5,5,5,3,6,3,4,6,5
R_3CIooCWi3EpKpc6,MxvzFzxhex6KtCcJv,2,3,1,2,,3,,4,5,4,5,6,4,2,4,6,3,2,6
R_Q69KPdBjpF9AYud,nn9r35Fnm3dt4Mwac,3,5,2,2,,3,,4,7,6,6,7,7,1,3,5,4,2,7
R_AGpN7tibmUz8ocp,B2ZCZF78M52DaYdRe,1,1,3,2,,6,,4,5,6,7,7,4,1,7,7,4,2,4
R_DxjPLt1RYjhSlix,qBC3M3KQn9vNCcPqE,1,1,4,5,,9,"Eat 6-8 small meals throughout the day, I workout regularly and want to hit a set amount of each macronutrient each day (protein, carbs, fats)",4,1,7,7,7,4,3,1,6,1,1,7
