uid,uid,V8,V9,Q2_1,Q3_1,Q4_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1
uid,uid,StartDate,EndDate,How often will you snack in the following week?-Frequency,How often will you check the per-serving calories in the nutrition label when you go food shoppin...-Frequecy,"How often will per-serving calories matter more than flavor/taste, portion, price, etc. when choo...-Frequecy",It is likely that my usual shopping list of (food) items will change to include healthier items i...-Degree,It is likely that I would think twice about what I purchase and consume at work (school etc.) for...-Degree,Snack foods are generally less healthy foods. -Degree,Increased snacking by the population in general is a major contributor to the current increase in...-Degree,I avoid eating snack foods because I think they are unhealthy.-Degree,I depend a lot on snack foods because I have a busy lifestyle and don't have time to prepare meals. -Degree,Some snack foods are healthy but these are not tasty.-Degree,"Given my current snacking habit, my risk for developing type 2 diabetes is relatively low. -Degree"
hFMehFgYKLkcpyuQ9,hFMehFgYKLkcpyuQ9,2/16/16 16:47,2/16/16 16:48,4,3,3,2,2,3,3,4,3,2,4
bvQKD5bRjLyvwCpPy,bvQKD5bRjLyvwCpPy,2/16/16 23:43,2/16/16 23:44,4,5,3,3,3,2,2,3,5,2,3
nTjB9cbr4ip2uXa8g,nTjB9cbr4ip2uXa8g,2/17/16 11:10,2/17/16 11:11,4,3,2,4,3,4,3,4,2,4,2
nXMXFzpgTi4qgwWK6,nXMXFzpgTi4qgwWK6,2/17/16 16:43,2/17/16 16:45,3,3,3,3,2,1,1,2,2,2,2
8rkTWSowd8QnKYkrE,8rkTWSowd8QnKYkrE,2/17/16 19:28,2/17/16 19:39,5,2,2,2,2,1,1,4,4,2,4
iw4jvD5va5fnWukXC,iw4jvD5va5fnWukXC,2/18/16 0:14,2/18/16 0:15,3,2,2,3,3,2,2,2,4,2,3
peZip3nZ25pQ4ism4,peZip3nZ25pQ4ism4,2/19/16 14:01,2/19/16 14:02,2,5,5,2,2,2,1,4,4,4,2
Yq2tfTdFxrtJJrtiK,Yq2tfTdFxrtJJrtiK,2/19/16 15:05,2/19/16 15:06,1,5,5,1,1,1,1,3,5,3,5
2EaSSMTDRTavgzxWY,2EaSSMTDRTavgzxWY,2/20/16 10:02,2/20/16 10:04,3,3,3,3,2,3,2,2,4,2,2
A8Cj2fKdNtZJqYLwh,A8Cj2fKdNtZJqYLwh,2/21/16 10:25,2/21/16 10:25,2,3,3,2,2,1,1,1,5,3,1
Go273GW8uicZrCdSD,Go273GW8uicZrCdSD,2/21/16 11:27,2/21/16 11:28,5,5,4,3,2,2,1,3,2,3,2
i8NjyEXvuMDxg5nGL,i8NjyEXvuMDxg5nGL,2/21/16 12:17,2/21/16 12:18,4,5,4,4,2,3,3,3,3,3,2
DW37WiLZena9WDYfN,DW37WiLZena9WDYfN,2/21/16 17:05,2/21/16 17:06,4,1,2,4,4,5,4,4,4,5,2
c7KXKPxqoFftvbiRo,c7KXKPxqoFftvbiRo,2/21/16 17:45,2/21/16 17:45,2,1,1,4,4,4,4,3,4,2,2
