,,,,,,,,,,,,,,,,,,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
V1,V8,V9,Enter Embedded Data Field Name Here...,uid,Q1_2_Group,Q1_2_Rank,Q1_4_Group,Q1_4_Rank,Q1_5_Group,Q1_5_Rank,Q1_6_Group,Q1_6_Rank,Q1_7_Group,Q1_7_Rank,Q1_8_Group,Q1_8_Rank,Q1_10_Group,Q1_10_Rank,Q1_11_Group,Q1_11_Rank,Q2_2_Group,Q2_2_Rank,Q2_4_Group,Q2_4_Rank,Q2_5_Group,Q2_5_Rank,Q2_6_Group,Q2_6_Rank,Q2_7_Group,Q2_7_Rank,Q2_8_Group,Q2_8_Rank,Q2_10_Group,Q2_10_Rank,Q2_11_Group,Q2_11_Rank,Q3_2_Group,Q3_2_Rank,Q3_4_Group,Q3_4_Rank,Q3_5_Group,Q3_5_Rank,Q3_6_Group,Q3_6_Rank,Q3_7_Group,Q3_7_Rank,Q3_8_Group,Q3_8_Rank,Q3_10_Group,Q3_10_Rank,Q3_11_Group,Q3_11_Rank,Q4_2_Group,Q4_2_Rank,Q4_4_Group,Q4_4_Rank,Q4_5_Group,Q4_5_Rank,Q4_6_Group,Q4_6_Rank,Q4_7_Group,Q4_7_Rank,Q4_8_Group,Q4_8_Rank,Q4_10_Group,Q4_10_Rank,Q4_11_Group,Q4_11_Rank,Q5_2_Group,Q5_2_Rank,Q5_4_Group,Q5_4_Rank,Q5_5_Group,Q5_5_Rank,Q5_6_Group,Q5_6_Rank,Q5_7_Group,Q5_7_Rank,Q5_8_Group,Q5_8_Rank,Q5_10_Group,Q5_10_Rank,Q5_11_Group,Q5_11_Rank,,,
ResponseID,StartDate,EndDate,Enter Embedded Data Field Name Here...,uid,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Rank,"Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Rank","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Rank",Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Rank,Which of items in the list of reasons influenced you,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-D,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Rank,"Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Rank","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Rank",Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Diput thought into my selection-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Didally put thought into my selection-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Rank,"Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Rank","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Rank",Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Didly put thought into my selection-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Dieally put thought into my selection-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Rank,"Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Rank","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Rank",Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Didreally put thought into my selection-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Didput thought into my selection-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Rank,"Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Rank","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Rank",Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Dit really put thought into my selection-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Di really put thought into my selection-Rank,,,
R_3DcmemAzrw1REdM,2/15/16 5:35,2/15/16 5:37,i7HMczRwQwWbacY4R,i7HMczRwQwWbacY4R,0,3,,,,,,,0,2,,,,,0,1,0,1,,,,,,,,,,,0,3,0,2,0,1,,,,,,,0,2,,,,,0,3,0,1,0,3,,,,,,,,,0,2,,,,,0,3,,,0,2,,,,,,,0,1,,,
R_22rj9UpkQnDWgzj,2/15/16 8:54,2/15/16 8:57,DW37WiLZena9WDYfN,DW37WiLZena9WDYfN,,,,,,,,,0,3,,,0,2,0,1,0,2,0,1,,,0,3,,,,,,,,,,,,,0,2,,,0,3,,,0,1,,,,,,,0,3,,,,,,,0,2,0,1,0,1,0,2,,,,,,,,,,,0,3,,,
R_W9geBHRBKSmbbVf,2/15/16 9:34,2/15/16 9:36,A8Cj2fKdNtZJqYLwh,A8Cj2fKdNtZJqYLwh,0,3,,,,,,,,,,,0,1,0,2,0,1,,,0,2,,,,,,,0,3,,,0,2,,,,,,,,,0,1,,,0,3,0,1,0,2,,,,,0,3,,,,,,,0,1,0,2,,,,,,,,,,,0,3,,,
R_3KNINfeTWzcPGaJ,2/15/16 13:45,2/15/16 13:48,F3ZWcZX7ARkhPJmRW,F3ZWcZX7ARkhPJmRW,0,3,,,0,1,,,,,,,0,2,,,0,3,,,0,1,,,,,,,0,2,,,0,3,,,0,1,,,,,,,0,2,,,0,3,,,0,1,,,,,,,0,2,,,0,3,,,0,1,,,,,,,0,2,,,,,
R_1I6MFkIQxVABhq7,2/15/16 14:44,2/15/16 14:46,9bSZGxpzwYt8Zz8Kx,9bSZGxpzwYt8Zz8Kx,,,,,0,3,,,0,1,,,0,2,,,,,0,3,,,,,0,2,,,0,1,,,,,0,3,0,2,,,,,,,0,1,,,,,,,0,3,,,0,2,,,0,1,,,,,,,0,2,,,,,,,0,1,0,3,,,
R_1eCxDEOM7DINNpD,2/15/16 15:24,2/15/16 15:27,peZip3nZ25pQ4ism4,peZip3nZ25pQ4ism4,,,,,0,2,,,0,1,,,0,3,,,0,2,,,0,1,,,0,3,,,,,,,,,,,0,1,,,,,,,0,2,0,3,,,,,0,3,,,0,2,,,0,1,,,0,2,,,0,3,0,1,,,,,,,,,,,
R_1BQ7fWXd7bxnVLw,2/15/16 16:20,2/15/16 16:22,hFMehFgYKLkcpyuQ9,hFMehFgYKLkcpyuQ9,,,0,2,0,1,,,0,3,,,,,,,0,1,0,2,0,3,,,,,,,,,,,0,3,0,2,,,,,0,1,,,,,,,,,0,3,0,1,,,0,2,,,,,,,0,1,0,3,0,2,,,,,,,,,,,,,
R_31BoFezIZcRpDbw,2/15/16 16:35,2/15/16 16:40,GL2hudNdtRviGrbv6,GL2hudNdtRviGrbv6,0,2,,,,,,,,,,,0,1,0,3,0,2,,,,,,,,,,,0,1,0,3,0,2,,,,,,,,,,,0,3,0,1,0,3,,,,,,,,,,,0,2,0,1,0,1,,,,,,,,,,,0,3,0,2,,,
R_elkOBxjTfab40Eh,2/15/16 16:46,2/15/16 16:50,YiHmJ4qLbxiwyjMFd,YiHmJ4qLbxiwyjMFd,,,,,0,2,,,,,0,1,0,3,,,,,,,0,2,,,,,0,1,0,3,,,,,,,0,2,,,,,0,1,0,3,,,,,,,0,2,,,,,0,1,0,3,,,0,2,,,,,,,,,0,1,0,3,,,,,
R_O6GVqdfwp2QDyEh,2/15/16 17:01,2/15/16 17:03,Xyy2u4fX5w8ZXBK3y,Xyy2u4fX5w8ZXBK3y,0,2,,,,,,,0,1,,,0,3,,,0,2,,,0,1,,,,,,,0,3,,,0,2,,,0,1,,,,,,,0,3,,,0,3,,,0,1,,,,,,,0,2,,,0,2,,,0,1,,,,,,,0,3,,,,,
R_AmnsNt8Xx2SujgR,2/15/16 17:28,2/15/16 17:31,PxZYxaGdJhcnoWWsT,PxZYxaGdJhcnoWWsT,,,,,0,3,,,,,0,1,0,2,,,0,1,0,2,0,3,,,,,,,,,,,,,,,0,2,,,,,,,0,1,0,3,0,3,,,0,2,,,,,,,0,1,,,,,0,3,0,1,,,,,,,,,0,2,,,
R_1ogPyWpe7tEETKt,2/15/16 21:03,2/15/16 21:06,nXMXFzpgTi4qgwWK6,nXMXFzpgTi4qgwWK6,,,,,,,,,0,3,0,1,0,2,,,,,0,3,0,2,,,0,1,,,,,,,,,,,,,,,0,3,0,1,0,2,,,,,,,0,2,,,0,1,,,0,3,,,,,,,0,2,,,0,3,,,0,1,,,,,
R_2VkhCfIu5uIXupj,2/15/16 21:03,2/15/16 21:06,qHfPbdZH5ooEhRGj5,qHfPbdZH5ooEhRGj5,,,0,2,,,,,0,1,0,3,,,,,,,0,1,0,2,,,,,,,0,3,,,,,,,0,3,,,,,0,1,0,2,,,,,,,,,,,0,1,0,2,,,0,3,,,0,3,,,,,,,0,1,,,0,2,,,
R_eF0wJZu7UUU58OZ,2/15/16 21:05,2/15/16 21:08,idBwv2cHpmaynrZhD,idBwv2cHpmaynrZhD,,,,,0,1,0,2,,,,,,,0,3,0,2,0,1,0,3,,,,,,,,,,,,,,,0,1,,,,,0,2,,,0,3,,,,,0,1,0,2,,,,,,,0,3,0,2,0,1,,,,,,,,,0,3,,,,,
R_2rGdNIrFwxDd2Yh,2/15/16 21:38,2/15/16 21:40,iw4jvD5va5fnWukXC,iw4jvD5va5fnWukXC,,,,,,,,,0,2,0,1,0,3,,,0,3,0,2,,,,,,,,,,,0,1,,,,,,,,,0,1,0,2,0,3,,,,,,,,,,,0,1,0,2,0,3,,,0,3,0,1,0,2,,,,,,,,,,,,,
R_2wyMRZuIXzuaZVC,2/15/16 22:59,2/15/16 23:03,bvQKD5bRjLyvwCpPy,bvQKD5bRjLyvwCpPy,,,,,0,2,,,,,,,0,1,0,3,0,1,0,2,,,,,,,,,,,0,3,,,,,0,2,,,,,,,0,1,0,3,,,,,0,2,,,,,,,0,1,0,3,0,3,,,0,2,,,,,,,0,1,,,,,
R_Bypw4rexCqHiKE9,2/16/16 11:07,2/16/16 11:09,nTjB9cbr4ip2uXa8g,nTjB9cbr4ip2uXa8g,0,2,0,3,,,,,0,1,,,,,,,0,3,,,,,,,0,1,,,0,2,,,,,0,2,,,,,0,1,,,0,3,,,,,,,0,2,,,0,1,,,0,3,,,0,2,0,3,,,,,0,1,,,,,,,,,
R_1Q3JfL4RlUe3ax8,2/16/16 13:07,2/16/16 13:24,ufYSbrs2puEYHomhr,ufYSbrs2puEYHomhr,0,3,,,0,2,,,,,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,,,
R_1KiHlyRi4JOSdvf,2/16/16 14:33,2/16/16 14:34,iNRN7ctrXkwmZQSxt,iNRN7ctrXkwmZQSxt,,,,,0,1,,,0,3,0,2,,,,,0,3,0,1,0,2,,,,,,,,,,,,,,,0,1,,,,,0,3,0,2,,,,,0,1,0,2,,,,,0,3,,,,,0,1,0,2,0,3,,,,,,,,,,,,,
R_1NEdtss9gD9QGFS,2/16/16 14:55,2/16/16 14:58,i8NjyEXvuMDxg5nGL,i8NjyEXvuMDxg5nGL,,,,,0,3,,,0,1,,,0,2,,,0,1,0,2,,,,,,,,,0,3,,,,,,,0,3,,,0,2,,,0,1,,,,,,,0,3,,,0,2,,,0,1,,,0,3,,,0,1,,,,,,,0,2,,,,,
R_12yGfJpB6g8JqjV,2/16/16 14:55,2/16/16 14:58,qf7G2up2hE5qScuK9,qf7G2up2hE5qScuK9,0,3,,,0,1,,,,,,,0,2,,,0,1,0,2,0,3,,,,,,,,,,,,,0,3,0,2,,,,,,,0,1,,,,,0,3,0,2,,,,,,,0,1,,,0,1,,,0,2,,,,,,,0,3,,,,,
R_6yC1BfGWs8vQZBn,2/16/16 17:42,2/16/16 17:44,Wxu8k7df9yj4j6573,Wxu8k7df9yj4j6573,0,1,,,0,3,,,,,,,0,2,,,0,2,0,1,,,,,,,,,0,3,,,0,2,,,0,3,,,,,,,0,1,,,,,,,0,3,,,0,2,,,0,1,,,0,2,,,,,,,0,3,,,0,1,,,,,
