1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
V1,V8,V9,V10,uid,Q1_2_Group,Q1_2_Rank,Q1_4_Group,Q1_4_Rank,Q1_5_Group,Q1_5_Rank,Q1_6_Group,Q1_6_Rank,Q1_7_Group,Q1_7_Rank,Q1_8_Group,Q1_8_Rank,Q1_10_Group,Q1_10_Rank,Q1_11_Group,Q1_11_Rank,Q2_2_Group,Q2_2_Rank,Q2_4_Group,Q2_4_Rank,Q2_5_Group,Q2_5_Rank,Q2_6_Group,Q2_6_Rank,Q2_7_Group,Q2_7_Rank,Q2_8_Group,Q2_8_Rank,Q2_10_Group,Q2_10_Rank,Q2_11_Group,Q2_11_Rank,Q3_2_Group,Q3_2_Rank,Q3_4_Group,Q3_4_Rank,Q3_5_Group,Q3_5_Rank,Q3_6_Group,Q3_6_Rank,Q3_7_Group,Q3_7_Rank,Q3_8_Group,Q3_8_Rank,Q3_10_Group,Q3_10_Rank,Q3_11_Group,Q3_11_Rank,Q4_2_Group,Q4_2_Rank,Q4_4_Group,Q4_4_Rank,Q4_5_Group,Q4_5_Rank,Q4_6_Group,Q4_6_Rank,Q4_7_Group,Q4_7_Rank,Q4_8_Group,Q4_8_Rank,Q4_10_Group,Q4_10_Rank,Q4_11_Group,Q4_11_Rank,Q5_2_Group,Q5_2_Rank,Q5_4_Group,Q5_4_Rank,Q5_5_Group,Q5_5_Rank,Q5_6_Group,Q5_6_Rank,Q5_7_Group,Q5_7_Rank,Q5_8_Group,Q5_8_Rank,Q5_10_Group,Q5_10_Rank,Q5_11_Group,Q5_11_Rank,,,
ResponseID,StartDate,EndDate,Finished,uid,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Rank,"Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Rank","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Rank",Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Didn진t really put thought into my selection-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Didn진t really put thought into my selection-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Rank,"Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Rank","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Rank",Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Didn진t really put thought into my selection-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Didn진t really put thought into my selection-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Rank,"Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Rank","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Rank",Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Didn진t really put thought into my selection-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Didn진t really put thought into my selection-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Rank,"Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Rank","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Rank",Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Didn진t really put thought into my selection-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Didn진t really put thought into my selection-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Taste/flavor-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Brand/packaging-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Ingredients-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Considered it a gift for friends or family-Rank,"Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Food source (e.g., locally sourced ingredients)-Rank","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Group","Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Health related reasons (e.g., allergies, diet restrictions, medication adherence)-Rank",Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Per-serving calories-Rank,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Didn진t really put thought into my selection-Group,Which of items in the list of reasons influenced your above snack purchase??? Choose the top thre...-Didn진t really put thought into my selection-Rank,,,
R_1JUsaw1d9N4U5Vo,2/16/16 16:42,2/16/16 16:43,1,hFMehFgYKLkcpyuQ9,,,0,1,0,3,,,0,2,,,,,,,0,3,0,2,0,1,,,,,,,,,,,0,1,0,3,0,2,,,,,,,,,,,0,3,0,1,0,2,,,,,,,,,,,0,2,0,3,0,1,,,,,,,,,,,,,
R_1qfwIS1nFDnfUfq,2/16/16 23:30,2/16/16 23:32,1,bvQKD5bRjLyvwCpPy,,,,,,,,,,,0,2,0,1,0,3,0,2,,,,,,,,,0,3,0,1,,,0,1,,,,,,,,,0,3,0,2,,,,,,,,,,,,,0,2,0,1,0,3,,,,,,,,,,,0,2,0,1,0,3,,,
R_2BhXBpwArqJHtNG,2/17/16 11:04,2/17/16 11:05,1,nTjB9cbr4ip2uXa8g,,,,,0,3,,,0,1,,,0,2,,,0,1,,,0,2,,,0,3,,,,,,,,,,,0,3,,,0,1,,,0,2,,,,,,,0,2,,,0,3,,,0,1,,,,,,,0,3,,,0,2,,,0,1,,,,,
R_C7ddfc1YDHhYW3v,2/17/16 16:33,2/17/16 16:35,1,nXMXFzpgTi4qgwWK6,,,,,,,,,0,1,0,2,0,3,,,0,2,0,1,0,3,,,,,,,,,,,0,3,,,0,2,,,,,,,,,0,1,,,,,,,,,,,0,1,0,3,0,2,,,,,0,2,,,0,1,,,0,3,,,,,
R_2Y9VuQxYB1NYQ7m,2/17/16 19:19,2/17/16 19:21,1,8rkTWSowd8QnKYkrE,,,,,0,2,,,,,0,3,0,1,,,0,1,0,2,0,3,,,,,,,,,,,0,2,0,1,0,3,,,,,,,,,,,,,,,0,1,,,,,0,3,0,2,,,,,,,0,2,,,,,0,3,0,1,,,,,
R_2D8il9MuaF9nu9r,2/18/16 0:06,2/18/16 0:07,1,iw4jvD5va5fnWukXC,,,,,,,,,0,2,0,1,0,3,,,0,2,0,3,,,,,,,,,,,0,1,0,3,,,0,2,,,,,,,0,1,,,0,2,,,,,,,,,0,1,0,3,,,,,,,,,,,,,0,2,0,3,0,1,,,
R_d08LsvTzVQfjTF3,2/19/16 13:53,2/19/16 13:54,1,peZip3nZ25pQ4ism4,0,3,,,0,1,,,,,,,0,2,,,0,3,,,0,1,,,,,,,0,2,,,,,0,3,0,1,,,,,,,0,2,,,0,2,,,0,1,,,,,,,0,3,,,,,,,0,1,,,0,3,,,0,2,,,,,
R_2TYjCDqpFMXGIXF,2/19/16 14:58,2/19/16 15:00,1,Yq2tfTdFxrtJJrtiK,,,0,2,,,,,,,,,0,1,0,3,0,2,,,,,0,3,,,,,0,1,,,0,2,,,,,,,,,0,3,0,1,,,0,3,,,,,,,,,0,2,0,1,,,0,2,,,,,,,,,,,0,1,0,3,,,
R_vUg5XHHzFaHKhu9,2/20/16 7:11,2/20/16 7:12,1,Ka7uwDPR6rD8fmrYq,,,,,0,3,,,0,2,0,1,,,,,0,3,,,0,2,,,,,0,1,,,,,0,3,,,0,2,,,,,0,1,,,,,0,3,,,0,2,,,,,0,1,,,,,0,3,,,0,2,,,,,0,1,,,,,,,
R_pzpmm8SCWGO3V8R,2/20/16 9:53,2/20/16 9:55,1,2EaSSMTDRTavgzxWY,0,2,,,,,,,,,,,0,1,0,3,0,2,0,1,0,3,,,,,,,,,,,0,2,,,,,,,,,,,0,1,0,3,,,,,,,,,0,2,,,0,1,0,3,,,,,0,2,,,,,0,3,0,1,,,,,
R_3HSn05KvE7SOXoa,2/21/16 10:14,2/21/16 10:17,1,A8Cj2fKdNtZJqYLwh,,,0,3,,,,,,,,,0,2,0,1,0,1,0,2,,,,,,,,,,,0,3,0,1,0,2,,,,,,,,,,,0,3,,,,,,,0,2,,,,,0,1,0,3,,,0,1,0,2,,,,,,,,,0,3,,,
R_1f1JBTdXFMYc0LM,2/21/16 11:16,2/21/16 11:18,1,Go273GW8uicZrCdSD,,,,,0,2,0,3,,,,,0,1,,,0,1,,,,,,,,,0,2,0,3,,,0,3,,,,,,,,,0,2,0,1,,,,,,,,,0,2,,,0,3,0,1,,,,,,,,,,,,,0,3,0,1,0,2,,,
R_Oegmuq450ELyBup,2/21/16 12:09,2/21/16 12:10,1,i8NjyEXvuMDxg5nGL,,,,,0,2,,,0,3,,,0,1,,,0,1,0,2,,,,,,,,,0,3,,,0,3,,,0,2,,,,,,,0,1,,,,,,,0,2,,,0,3,,,0,1,,,,,,,0,1,,,0,3,,,0,2,,,,,
R_cZJKb2RsnSlPxS1,2/21/16 16:54,2/21/16 16:57,1,DW37WiLZena9WDYfN,,,,,0,2,,,0,3,,,0,1,,,0,2,0,1,,,,,,,,,,,0,3,0,2,0,1,,,,,,,,,,,0,3,,,,,0,3,,,0,2,,,0,1,,,,,,,0,3,,,0,2,,,0,1,,,,,
R_262KFJIsLT1K1g1,2/21/16 17:36,2/21/16 17:36,1,c7KXKPxqoFftvbiRo,0,1,0,2,,,,,,,,,,,0,3,0,1,0,2,,,,,,,,,,,0,3,0,2,0,1,,,,,,,,,,,0,3,0,1,0,2,,,,,,,,,,,0,3,0,1,0,2,,,,,,,,,,,0,3,,,
R_BXqfG6v4ZRNI4Nj,2/21/16 18:45,2/21/16 18:46,1,F3ZWcZX7ARkhPJmRW,,,,,0,2,,,0,3,,,0,1,,,0,3,,,0,1,,,,,,,0,2,,,0,1,,,0,3,,,,,,,0,2,,,0,3,,,0,1,,,,,,,0,2,,,0,3,,,0,2,,,,,,,0,1,,,,,
R_1Qzu70CKD8uu0Oo,2/21/16 23:28,2/21/16 23:29,1,79cjqjh3rhGT85Z35,0,3,0,2,,,,,,,,,0,1,,,0,2,,,0,3,,,,,,,0,1,,,,,,,,,,,0,2,0,3,0,1,,,0,3,,,0,2,,,,,,,0,1,,,,,0,3,0,2,,,,,,,0,1,,,,,
R_33rsaNg933CPkJD,2/22/16 10:29,2/22/16 10:30,1,iNRN7ctrXkwmZQSxt,,,,,,,,,0,3,0,2,0,1,,,0,1,0,2,,,,,,,,,0,3,,,0,3,0,2,0,1,,,,,,,,,,,,,,,,,0,3,0,1,,,0,2,,,,,,,0,2,,,0,3,,,0,1,,,,,
R_yJGRqNifeJmcFON,2/22/16 14:07,2/22/16 14:09,1,ufYSbrs2puEYHomhr,,,0,3,0,2,,,,,,,0,1,,,,,,,0,3,,,,,0,1,0,2,,,0,3,,,0,2,,,,,,,0,1,,,,,,,0,2,,,0,3,,,0,1,,,,,,,0,2,,,0,3,,,0,1,,,,,
R_3nixPAquTBLDaBE,2/22/16 20:49,2/22/16 20:50,1,Wxu8k7df9yj4j6573,0,3,,,0,1,,,,,,,0,2,,,0,3,,,0,1,,,,,,,0,2,,,0,2,,,0,1,,,,,,,0,3,,,0,3,,,0,1,,,,,,,0,2,,,0,2,,,0,1,,,,,,,0,3,,,,,
R_8CZBMChzEyXQwet,2/22/16 23:35,2/22/16 23:42,1,EsvySo9AtybDSYAs8,,,0,3,,,,,,,,,0,1,0,2,,,0,3,,,,,,,,,0,1,0,2,,,,,,,,,,,0,3,0,1,0,2,,,,,0,2,,,,,,,0,1,0,3,,,,,0,3,0,2,,,,,0,1,,,,,
R_1IpkeTjAu5NjzAL,2/24/16 4:47,2/24/16 4:48,1,nyhJYddWvp3BB3QQw,,,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,0,3,,,0,2,,,,,
