gain,1,2,2,1
loss,0,1,1,3
gain,-2,3,3,2
gain,1,3,2,1
gain,0,1,0,3
loss,3,3,4,2
loss,2,2,2,2
loss,-1,1,2,3
loss,3,1,1,0
loss,-2,1,1,3
loss,-1,1,-2,0
gain,-1,3,3,3
loss,3,-2,1,0
gain,1,3,0,2
gain,0,3,1,3
gain,3,3,3,3
gain,2,3,1,0
gain,1,0,2,2
gain,2,3,4,3
loss,2,0,2,0
loss,3,-1,0,-1
loss,3,0,1,0
loss,3,0,3,1
loss,0,3,1,1
loss,2,1,1,1
gain,1,0,2,3
loss,3,2,3,0
gain,2,-1,3,1
loss,3,3,3,3
gain,2,1,1,0
gain,3,3,3,3
loss,1,3,2,3
gain,3,3,3,3
gain,0,3,3,3
loss,0,1,1,3
gain,3,3,2,0
gain,2,0,-1,0
gain,0,1,-1,1
gain,-1,0,3,3
loss,2,3,2,3
gain,-1,-2,2,1
loss,3,3,3,3
gain,2,1,-2,1
gain,1,3,0,0
gain,0,2,1,1
loss,2,-1,0,-1
gain,2,3,3,3
gain,0,0,1,1
gain,-1,-3,-1,0
loss,2,-1,1,0
loss,3,3,3,3
loss,0,1,3,3
loss,0,1,0,3
gain,1,2,1,0
gain,3,1,1,0
gain,3,3,1,3
gain,3,2,3,2
gain,2,3,3,3
loss,2,0,2,3
gain,2,1,1,0
loss,2,1,1,0
loss,1,1,1,-1
gain,2,3,3,3
loss,1,3,2,0
loss,2,3,2,2
gain,1,1,0,0
gain,-1,2,3,3
gain,3,0,2,0
loss,3,3,1,1
loss,-3,-2,1,1
loss,3,3,4,3
gain,3,3,4,0
loss,3,2,3,3
loss,2,0,3,3
loss,3,2,1,-1
loss,2,3,3,3
gain,3,2,3,3
gain,3,3,3,3
loss,3,0,1,0
loss,1,1,1,1
loss,1,0,3,-1
loss,2,3,2,3
loss,-1,2,1,2
gain,1,2,3,3
gain,1,-1,1,-1
gain,2,0,4,3
gain,0,1,1,-1
gain,3,3,2,2
loss,0,0,2,3
gain,0,-1,1,3
gain,1,3,3,2
gain,2,1,2,3
gain,2,3,3,3
loss,3,3,2,3
gain,2,3,3,3
gain,2,3,3,3
gain,3,2,4,0
gain,-1,-2,-1,0
gain,2,3,4,2
loss,0,2,3,3
loss,0,1,-2,0
gain,2,3,3,3
gain,2,2,3,3
gain,2,3,4,2
loss,0,-1,-1,1
gain,-1,1,1,-2
loss,1,3,3,3
gain,3,2,3,3
loss,-1,1,0,3
gain,-2,1,-1,0
loss,0,1,4,2
loss,1,1,2,2
gain,0,1,1,2
gain,0,0,3,1
gain,3,3,3,3
gain,-1,-2,1,2
gain,3,3,3,3
loss,3,3,3,3
gain,1,-1,-2,3
gain,3,3,4,3
gain,3,0,2,2
loss,2,0,1,0
loss,3,3,3,3
gain,0,-1,1,0
loss,2,3,3,3
gain,0,3,3,1
gain,2,3,1,2
loss,1,-2,-1,-1
loss,3,3,2,2
gain,2,3,1,3
gain,2,3,2,3
loss,-1,0,-3,1
loss,1,-1,1,1
loss,3,-2,3,2
loss,0,2,2,3
gain,3,2,2,2
gain,0,-1,1,0
loss,3,3,3,3
gain,0,0,-1,-2
loss,0,1,1,2
gain,3,3,4,3
gain,-1,1,1,1
loss,3,2,3,1
gain,3,3,3,0
gain,1,2,3,3
gain,3,3,3,3
loss,3,3,2,-1
loss,3,3,3,3
